"Year","Avg.Score","Count"
"1971",190,1
"1972",212.333333333333,3
"1973",178.75,4
"1974",203.333333333333,6
"1975",234.411764705882,17
"1976",205.666666666667,6
"1977",186.166666666667,6
"1978",201.3,10
"1979",195.28,25
"1980",208.047619047619,21
"1981",192.296296296296,27
"1982",218.34375,32
"1983",222.78125,64
"1984",197.391304347826,46
"1985",207.145161290323,62
"1986",195.983050847458,59
"1987",225.297297297297,74
"1988",218.885245901639,61
"1989",218.094339622642,53
"1990",215.372881355932,59
"1991",220.540540540541,37
"1992",211.714285714286,84
"1993",209.220779220779,77
"1994",223.021276595745,94
"1995",227.322033898305,59
"1996",228.544715447154,123
"1997",229.18691588785,107
"1998",236.254716981132,106
"1999",232.137931034483,145
"2000",228.889763779528,127
"2001",232.65,120
"2002",240.408759124088,137
"2003",224.035460992908,141
"2004",231.114754098361,122
"2005",253.41,100
"2006",233.746753246753,154
"2007",240.693989071038,183
"2008",234.844827586207,116
"2009",244.79020979021,143
"2010",237.15,140
"2011",239.471428571429,140
"2012",243.571428571429,84
"2013",242.048387096774,124
"2014",258.118644067797,118
"2015",264.241134751773,141
"2016",266.67032967033,91
"2017",261.161764705882,68
